Access to Water (WATSUP) - Percentage of population with access to improved drinking water source,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation, 2013.",,,,,,,,,,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ethiopia,13.6073211,13.7948707,13.9857872,15.9047091,17.8218545,19.6915662,21.5417082,23.3892613,25.2347136,27.0778351,28.9187483,30.7568744,32.5926882,34.4259605,36.2568103,38.0846627,39.909984,41.7325434,43.5569701,45.3827795,47.2099948,49.038461
Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,85.3461744,85.5953388,86.2589267,86.9164919,87.5685135,88.2148028,88.8551611,89.4473407,90.0287879,90.6072049,91.1825289,91.7548295,92.323994,92.8899759,93.4530742,94.0129086,94.5696254,95.123236,95.6738035,96.2211509,96.251785,96.282384
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
French Guiana,NA,NA,82.6984692,82.7074698,82.7168382,82.7262518,82.7353275,83.2394091,83.7437266,84.2478132,84.7541868,85.2625822,85.772249,86.2844265,86.7986782,87.3144119,87.8326321,88.353097,88.8751472,89.399914,89.9269309,89.9582419
French Polynesia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gabon,NA,NA,NA,NA,82.7944685,83.3233241,83.8204639,84.2871399,84.724637,85.024137,85.3115989,85.5869977,85.850254,86.1013872,86.340354,86.5674397,86.7826326,86.9860786,87.2383146,87.4716585,87.6869109,87.8851852
Gambia,74.4902194,75.4400491,76.377415,77.3011737,78.2072451,79.095227,79.9654323,80.8181975,81.6538018,82.4725875,83.274946,84.0614551,84.8325079,85.5886299,86.3303693,87.058333,87.7730878,88.4752447,89.1653785,89.213752,89.2599141,89.3038861
Georgia,84.9615723,84.9058258,84.8499569,84.7941844,84.7383019,85.473803,86.2145897,86.9608691,87.7124671,88.4694515,89.2317677,89.9995966,90.7921775,91.6088387,92.4241643,93.2381373,94.0503621,94.8609316,95.6703864,96.4787145,97.2868249,98.0553362
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ghana,53.2649155,55.1560505,57.0244076,58.8682054,60.688366,62.4840375,64.2552224,66.0004088,67.7204063,69.4145058,71.0827273,72.7211353,74.3309171,75.9120382,77.4648103,78.989576,80.486723,81.9566604,83.3998204,84.816664,86.2076812,86.2891083
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,96.205945,96.4842846,96.7621623,97.0389883,97.3147872,97.5895558,97.8633039,98.1360095,98.4076867,98.6783404,98.9479728,99.2165708,99.4842926,99.7509151,99.7516251,99.7524035,99.7532556,99.7541694,99.7551588,99.7562198,99.757354,99.758552
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,NA,NA,NA,NA,NA,94.2004533,94.200006,94.2002593,94.1997056,94.1995383,94.2002719,94.2003912,94.2003256,94.2003033,94.2003807,94.1995834,94.2001417,94.2003328,NA,NA,NA,NA
Guadeloupe,97.8114448,97.8119237,97.8122482,97.8128024,97.8130509,97.8136892,97.814086,97.8145593,97.8149291,97.8152326,97.9534847,98.0917473,98.2300987,98.3684025,98.506599,98.6449506,98.7833526,98.9216213,99.059851,99.1981347,99.3363956,99.336384
Guam,99.6161716,99.5993202,99.5833963,99.5668912,99.5504976,99.5335225,99.5172259,99.5009345,99.4843279,99.4679286,99.4514879,99.4346303,99.4185611,99.4182233,99.4183874,99.4186219,99.4182103,99.4184638,99.4183596,99.4187061,99.4185529,99.4184865
